DATA	MARCO/EVENTO	Âmbito	Descrição	Tipo	Link
2019-04-10	Maria João Cortinhal diretora da Escola de Gestão (IBS)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015365444/in/album-72177720298221622/
2019-04-03	ISCTE no ranking Times Higher Education (THE) University Impact Rankings	Iscte			
2019-03-25	Joana Alexandre presidente do Conselho Pedagógico	Iscte			
2019-03-13	Tomada de posse do Conselho Pedagógico do ISCTE- IUL	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163818/in/album-72177720298221622/
2018-11-23	Carlos Sá da Costa diretor da Escola de tecnologias e arquitetura (ISTA)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115531/in/album-72177720298221622/
2019-02-25	Luísa Lima presidente do Conselho Científico	Iscte			
2019-02-18	Tomada de posse do Conselho Científico do ISCTE-IUL	Iscte			
2019-01-03	José Crespo de Carvalho presidente do INDEG-ISCTE	Iscte			
2018-12-13	Iscte primeira universidade portuguesa a obter a Certificação Ambiental (ISO 14001:2015)	Iscte			
2018-12-01	Observatório português das atividades culturais	Nacional			
2018-11-15	José Manuel Rebelo Provedor do estudante	Iscte		pagina_web	https://dre.pt/dre/detalhe/despacho/11475-2018-117179562
2018-11-02	Comemoração dos 30 anos do INDEG	Iscte			
2018-11-02	Formar para a sociedade do conhecimento. INDEG-ISCTE 30 anos, Carlos Oliveira Santos	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52014086907/in/album-72177720298221622/
2018-11-02	Formar para a sociedade do conhecimento. INDEG-ISCTE 30 anos, Carlos Oliveira Santos	Iscte		pagina_web	https://repositorio.iscte-iul.pt/handle/10071/17835
2018-09-30	Número de discentes: 10939	Iscte			
2018-09-26	CiênciaVitae Sistema nacional de gestão curricular de ciência. https://cienciavitae.pt	Nacional			
2018-09-14	IULCOME: receção aos novos estudantes	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163933/in/album-72177720298221622/
2018-09-05	Obtenção da Acreditação Institucional pela A3ES (6 anos)	Iscte			
2018-05-18	Abertura concursos para a contratação de várias dezenas de investigadores; edital nº 504/2018 de 18 de Maio	Iscte			
2018-04-23	INDEG-IUL, protocolo com a IAPMEI para a implementação de três programas para PME's	Iscte			
2018-03-08	Maria de Lurdes Rodrigues eleita primeira reitora	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115596/in/album-72177720298221622/
2018-02-07	Homologação do Relatório de Atividades  (fonte RA2017): Orçamento 42 M€ 	Iscte			
2017-12-15	"Afirmação de uma identidade. 45 anos de ISCTE Instituto Universitário de Lisboa"	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015630880/in/album-72177720298221622/
2017-12-15	45º aniversário do ISCTE-IUL	Iscte			
2017-11-24	"Retrato da investigação científica no ISCTE-IUL. Documento síntese do estudo realizado pela CEIC" (A. Benavente, P. Guibentif, M. E. Gonçalves, V. Rato, M. Santos, A. Velez) publicado pela Comissão especializada de investigação cientifica do Conselho Geral mandato 2013-17	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015631095/in/album-72177720298221622/
2017-10-15	Fogos florestais na zona centro causam 48 mortos	Nacional			
2017-09-30	Número de discentes: 10620	Iscte			
2017-09-08	Júlio Pedrosa presidente do Conselho Geral	Iscte			
2017-06-26	Fogos florestais em Pedrógão Grande causam 66 mortos	Nacional			
2017-05-13	Salvador Sobral vence o Festival Eurovisão da Canção	Nacional			
2017-03-19	Homologação do Relatório de Atividades  (fonte RA2016): Orçamento 42 M€ 	Iscte			
2017-03-17	Fernando Batista presidente do Conselho Pedagógico	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015631515/in/album-72177720298221622/
2017-03-17	Integração da componente da Sustentabilidade no SIGQ	Iscte			
2017-02-24	Francisco Cercas reeleito presidente do Conselho Cientifico	Iscte			
2017-02-01	Assinatura eletrónica de pautas	Iscte			colocar foto e evento na linha 97
2017-01-31	Relatório final "A praxe como fenómeno social" da DGES. https://www.dges.gov.pt/sites/default/files/naipa/a_praxe_como_fenomeno_social.pdf	Nacional			
2017-01-09	Código de Conduta Académica (plágio). 	Iscte		documento	https://www.iscte-iul.pt/assets/files/2017/02/20/1487602801326_codigodecondutaacademica.pdf
2017-01-07	Mário Soares, 1924-2017	Nacional			
2017-01-01	António Guterres eleito secretário-geral da ONU	Internacional			
2017-01-09	Código de Conduta Académica (plágio). 	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015366699/in/album-72177720298221622/
2016-12-15	"Uma Década de Intervenções no Campus. ISCTE-Iul Arquitetura e universidade 2005-2015" de J. Baltazar	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015114651/in/album-72177720298221622/
2016-11-12	Colômbia: acordo de paz entre o governo e as FARC	Internacional			
2016-12-15	"Uma Década de Intervenções no Campus. ISCTE-Iul Arquitetura e universidade 2005-2015" de J. Baltazar	Iscte		pagina_web	https://catalogo.biblioteca.iscte-iul.pt/cgi-bin/koha/opac-detail.pl?biblionumber=100811
2016-09-30	Número de discentes: 10488	Iscte			
2016-09-29	Ricardo Fonseca reeleito diretor da Escola de tecnologias e arquitetura (ISTA)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52014087492/in/album-72177720298221622/
2016-09-22	ISCTE classificado pela primeira vez no ranking Times Higher Education (THE)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015365979/in/album-72177720298221622/
2016-07-20	Filipe Reis reeleito diretor da ECSH	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115681/in/album-72177720298221622/
2016-07-20	Helena Carreiras eleita diretora da Escola de sociologia e políticas públicas (ESPP)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015631600/in/album-72177720298221622/
2016-07-10	Portugal sagra-se campeão europeu de futebol	Internacional			
2016-05-30	Homologação do Relatório de Atividades  (fonte RA2015): Orçamento 38,5 M€ 	Iscte			
2016-04-27	Homenagem ao general A. Ramalho Eanes no 7º aniversário do regime fundacional	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52014087527/in/album-72177720298221622/
2016-04-12	Eleição de primeira Comissão de Trabalhadores	Iscte			
2016-02-26	Resolução da AR nº 38/2016. Reforço de medidas sobre a praxe académica	Nacional			
2016-01-21	Revista de Gestão dos Países de Língua Portuguesa vol. 15, nº1, sucede a Revista Portuguesa e Brasileira de Gestão	Iscte			
2015-12-23	Código de Conduta Académica; https://www.iscte-iul.pt/assets/files/2017/02/20/1487602801326_codigodecondutaacademica.pdf	Nacional			
2015-12-15	Clube ISCTE institui o mural solidário	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52014087462/in/album-72177720298221622/
2015-12-12	Acordo de Paris	Internacional			
2015-11-30	Cimeira sobre as alterações climáticas (COP21), Paris	Internacional			
2015-10-23	Eduardo Ferro Rodrigues 14º Presidente da Assembleia da República 	Nacional			
2015-10-06	Depósito em acesso aberto. Despacho reitoral 65/2015	Iscte		documento	https://repositorio.iscte-iul.pt/documentos/politica_de_acesso_aberto_do_iscte_iul.pdf
2015-09-30	Número de discentes: 10647	Iscte			
2015-09-25	Agenda 2030: Objetivos de desenvolvimento sutentável	Internacional			
2015-09-22	Carlos Santos Ferreira eleito presidente do Conselho de Curadores	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115736/in/album-72177720298221622/
2015-09-11	Criação do Coro ISCTE. Maestro Pedro Miguel	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163013/in/album-72177720298221622/
2015-09-11	Criação do Coro ISCTE. Maestro Pedro Miguel			musica	procurar no canal youtube do iscte uma música
2015-06-09	ISCTE co-fundador da Associação das Universidades Portuguesas	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115021/in/album-72177720298221622/
2015-05-31	Desmaterialização do Inquérito de monitorização pedagógica (3º ciclo)	Iscte			
2015-04-09	José Paulo Esperança eleito presidente da escola de Gestão (IBS)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015164188/in/album-72177720298221622/
2015-03-30	Primeiro doutoramento em Gestão Empresarial Aplicada no âmbito do acordo com a Southern Medical University, Guangzhou	Iscte			
2015-03-26	Maria Madalena Ramos eleita presidente do Conselho Pedagógico	Iscte			
2015-02-11	Certificação do Sistema Integrado de Garantia da Qualidade (SIGQ) pela A3ES (6 anos)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015164008/in/album-72177720298221622/
2015-02-02	Francisco Cercas eleito presidente do Conselho Cientifico	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115806/in/album-72177720298221622/
2015-01-07	Massacre de Charlie Hebdo, Paris	Internacional			
2014-12-15	Intranet MyISCTE. 	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015630435/in/album-72177720298221622/
2014-12-15	Intranet MyISCTE			pagina_web	https://intranet.iscte-iul.pt/user/login?destination=home
2014-12-15	Portal I-Meritus para a avaliação do desempenho dos docentes e dos investigadores; https://i-meritus.iscte-iul.pt	Iscte			
2014-11-21	José Socrátes detido no Aeroporto de Lisba sob suspeita de vários crimes	Nacional			
2014-09-30	Número de discentes: 10176	Iscte			
2014-09-11	IULCOME: receção aos novos estudantes	Iscte			https://www.flickr.com/photos/iscteiul/52015365519/in/album-72177720298221622/
2014-09-01	Inscrições on-line do 3º ciclo	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015114886/in/album-72177720298221622/
2014-05-13	ISTAR-ISCTE	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015631715/in/album-72177720298221622/
2014-04-30	Resolução da AR nº 43/2014. Medidas de combate a todas as formas de violência escolar	Nacional			
2014-03-18	Incorporação da Crimeia na Federação Russa	Internacional			
2014-03-03	Luís Antero Reto eleito reitor	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015164233/in/album-72177720298221622/
2013-12-04	Desmaterialização do registo da assiduidade e sumários (docente e discente)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015365759/in/album-72177720298221622/
2013-12-04	Desmaterialização do registo da assiduidade e sumários (docente e discente)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015630805/in/album-72177720298221622/
2013-12-04	Desmaterialização do registo da assiduidade e sumários (docente e discente)	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52014086832/in/album-72177720298221622/
2013-11-11	Plataforma de gestão curricular de investigação Ciência-IUL	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115186/in/album-72177720298221622/
